Tempo;Corsa;Carico;Deformazione 1
(sec);(mm);(N);(%)
0.00000;0.00000;194.07764;-0.05423
0.00200;0.00000;194.00554;-0.05415
0.00400;0.00000;193.93022;-0.05406
0.00600;0.00000;193.86439;-0.05395
0.00800;0.00000;193.82564;-0.05384
0.01000;0.00000;193.81118;-0.05376
0.01200;0.00000;193.79671;-0.05371
0.01400;0.00000;193.76818;-0.05365
0.01600;0.00006;193.73629;-0.05357
0.01800;0.00006;193.71740;-0.05348
0.02000;0.00012;193.72288;-0.05339
0.02200;0.00018;193.76338;-0.05332
0.02400;0.00024;193.83737;-0.05328
0.02600;0.00030;193.92322;-0.05324
0.02800;0.00042;193.99816;-0.05318
0.03000;0.00054;194.05395;-0.05310
0.03200;0.00066;194.09264;-0.05303
0.03400;0.00078;194.12588;-0.05298
0.03600;0.00090;194.17704;-0.05292
0.03800;0.00102;194.27289;-0.05288
0.04000;0.00120;194.43320;-0.05289
0.04200;0.00138;194.66588;-0.05298
0.04400;0.00161;194.96983;-0.05311
0.04600;0.00179;195.34407;-0.05330
0.04800;0.00203;195.79169;-0.05351
0.05000;0.00227;196.31868;-0.05373
0.05200;0.00257;196.93498;-0.05391
0.05400;0.00281;197.65384;-0.05404
0.05600;0.00311;198.48119;-0.05415
0.05800;0.00341;199.40992;-0.05427
0.06000;0.00371;200.43436;-0.05438
0.06200;0.00401;201.56386;-0.05444
0.06400;0.00436;202.81519;-0.05444
0.06600;0.00472;204.19946;-0.05438
0.06800;0.00508;205.72040;-0.05427
0.07000;0.00544;207.37748;-0.05413
0.07200;0.00580;209.16695;-0.05396
0.07400;0.00616;211.08363;-0.05381
0.07600;0.00658;213.11992;-0.05368
0.07800;0.00694;215.26564;-0.05354
0.08000;0.00735;217.51488;-0.05338
0.08200;0.00777;219.86619;-0.05319
0.08400;0.00819;222.31361;-0.05298
0.08600;0.00861;224.85000;-0.05277
0.08800;0.00903;227.47726;-0.05253
0.09000;0.00951;230.20052;-0.05223
0.09200;0.00993;233.01546;-0.05187
0.09400;0.01040;235.91493;-0.05146
0.09600;0.01088;238.89698;-0.05101
0.09800;0.01130;241.95323;-0.05054
0.10000;0.01178;245.06808;-0.05008
0.10200;0.01226;248.23821;-0.04964
0.10400;0.01274;251.47004;-0.04921
0.10600;0.01327;254.75745;-0.04878
0.10800;0.01375;258.08197;-0.04832
0.11000;0.01429;261.42967;-0.04784
0.11200;0.01477;264.79459;-0.04734
0.11400;0.01531;268.17711;-0.04685
0.11600;0.01584;271.58805;-0.04640
0.11800;0.01638;275.04039;-0.04600
0.12000;0.01686;278.53134;-0.04563
0.12200;0.01740;282.04897;-0.04531
0.12400;0.01794;285.59098;-0.04500
0.12600;0.01847;289.16223;-0.04468
0.12800;0.01901;292.76207;-0.04433
0.13000;0.01955;296.38188;-0.04395
0.13200;0.02009;300.00987;-0.04354
0.13400;0.02063;303.63989;-0.04311
0.13600;0.02111;307.27498;-0.04267
0.13800;0.02164;310.91392;-0.04223
0.14000;0.02218;314.54791;-0.04185
0.14200;0.02272;318.17758;-0.04155
0.14400;0.02326;321.81232;-0.04134
0.14600;0.02380;325.45396;-0.04125
0.14800;0.02433;329.09785;-0.04128
0.15000;0.02487;332.74330;-0.04141
0.15200;0.02547;336.38966;-0.04158
0.15400;0.02601;340.03290;-0.04174
0.15600;0.02661;343.67319;-0.04185
0.15800;0.02714;347.31592;-0.04188
0.16000;0.02774;350.96153;-0.04180
0.16200;0.02834;354.60915;-0.04159
0.16400;0.02888;358.27146;-0.04126
0.16600;0.02948;361.96413;-0.04081
0.16800;0.03001;365.68448;-0.04031
0.17000;0.03061;369.41904;-0.03985
0.17200;0.03115;373.16009;-0.03947
0.17400;0.03169;376.90597;-0.03916
0.17600;0.03223;380.65512;-0.03890
0.17800;0.03276;384.40304;-0.03872
0.18000;0.03330;388.14524;-0.03863
0.18200;0.03384;391.88550;-0.03864
0.18400;0.03438;395.63160;-0.03868
0.18600;0.03498;399.37976;-0.03873
0.18800;0.03551;403.12004;-0.03877
0.19000;0.03611;406.85846;-0.03879
0.19200;0.03665;410.61263;-0.03874
0.19400;0.03725;414.38551;-0.03863
0.19600;0.03785;418.16570;-0.03846
0.19800;0.03844;421.95171;-0.03823
0.20000;0.03904;425.75742;-0.03796
0.20200;0.03964;429.59149;-0.03766
0.20400;0.04018;433.44898;-0.03740
0.20600;0.04078;437.32272;-0.03723
0.20800;0.04137;441.21076;-0.03712
0.21000;0.04191;445.11608;-0.03705
0.21200;0.04251;449.04482;-0.03701
0.21400;0.04305;453.00280;-0.03698
0.21600;0.04359;456.99342;-0.03694
0.21800;0.04412;461.01562;-0.03685
0.22000;0.04466;465.06249;-0.03671
0.22200;0.04520;469.12958;-0.03648
0.22400;0.04574;473.21590;-0.03610
0.22600;0.04634;477.31134;-0.03559
0.22800;0.04687;481.39836;-0.03499
0.23000;0.04741;485.47168;-0.03439
0.23200;0.04801;489.54608;-0.03385
0.23400;0.04855;493.63235;-0.03337
0.23600;0.04915;497.71336;-0.03293
0.23800;0.04969;501.77085;-0.03254
0.24000;0.05028;505.82155;-0.03223
0.24200;0.05088;509.89660;-0.03200
0.24400;0.05148;514.00554;-0.03182
0.24600;0.05202;518.14015;-0.03162
0.24800;0.05261;522.29301;-0.03139
0.25000;0.05315;526.45737;-0.03114
0.25200;0.05369;530.62574;-0.03089
0.25400;0.05423;534.79867;-0.03062
0.25600;0.05477;538.98431;-0.03031
0.25800;0.05531;543.18788;-0.02992
0.26000;0.05584;547.41395;-0.02948
0.26200;0.05644;551.67056;-0.02901
0.26400;0.05698;555.95818;-0.02856
0.26600;0.05752;560.26191;-0.02818
0.26800;0.05806;564.56230;-0.02785
0.27000;0.05859;568.84927;-0.02758
0.27200;0.05913;573.12758;-0.02736
0.27400;0.05973;577.41343;-0.02720
0.27600;0.06027;581.72168;-0.02706
0.27800;0.06087;586.05224;-0.02692
0.28000;0.06140;590.39220;-0.02679
0.28200;0.06200;594.72863;-0.02665
0.28400;0.06254;599.05476;-0.02646
0.28600;0.06308;603.37284;-0.02619
0.28800;0.06362;607.69366;-0.02586
0.29000;0.06415;612.02394;-0.02549
0.29200;0.06469;616.35654;-0.02508
0.29400;0.06523;620.68263;-0.02464
0.29600;0.06577;625.00532;-0.02418
0.29800;0.06631;629.33010;-0.02375
0.30000;0.06678;633.65735;-0.02336
