Tempo;Corsa;Carico;Deformazione 1
(sec);(mm);(N);(%)
0.00000;-0.00006;146.07927;-0.03209
0.00200;-0.00006;146.05016;-0.03201
0.00400;-0.00006;146.02289;-0.03198
0.01400;-0.00006;145.82110;-0.03235
0.02400;-0.00006;145.64014;-0.03257
0.03400;-0.00006;145.44504;-0.03255
0.04400;-0.00006;145.52997;-0.03250
0.05400;-0.00006;145.62443;-0.03204
0.06400;0.00006;145.73109;-0.03121
0.07400;0.00006;145.58894;-0.03114
0.08400;0.00006;145.54446;-0.03136
0.09400;0.00006;145.64430;-0.03126
0.10400;0.00012;145.84375;-0.03140
0.11400;0.00018;145.99476;-0.03204
0.12400;0.00018;146.23238;-0.03205
0.13400;0.00024;146.18564;-0.03197
0.14400;0.00024;146.42092;-0.03231
0.15400;0.00030;146.70533;-0.03270
0.16400;0.00036;146.72569;-0.03294
0.17400;0.00042;146.71596;-0.03264
0.18400;0.00048;146.59413;-0.03230
0.19400;0.00054;146.77905;-0.03178
0.20400;0.00066;147.20629;-0.03130
0.21400;0.00078;148.15386;-0.03136
0.22400;0.00090;149.02196;-0.03120
0.23400;0.00102;149.85388;-0.03114
0.24400;0.00114;150.71477;-0.03188
0.25400;0.00126;151.94966;-0.03228
0.26400;0.00143;153.08396;-0.03167
0.27400;0.00161;154.12283;-0.03151
0.28400;0.00179;155.51203;-0.03153
0.29400;0.00197;157.07905;-0.03132
0.30400;0.00215;158.64613;-0.03115
0.31400;0.00233;159.93349;-0.03144
0.32400;0.00251;161.47364;-0.03141
0.33400;0.00269;163.41936;-0.03126
0.34400;0.00287;165.72238;-0.03158
0.35400;0.00305;167.53902;-0.03171
0.36400;0.00317;169.08775;-0.03119
0.37400;0.00335;170.54077;-0.03059
0.38400;0.00353;171.79651;-0.03008
0.39400;0.00371;173.22071;-0.02993
0.40400;0.00383;174.82274;-0.02988
0.41400;0.00401;176.14925;-0.03000
0.42400;0.00413;177.64482;-0.02986
0.43400;0.00430;178.87207;-0.02969
0.44400;0.00442;180.21086;-0.02980
0.45400;0.00460;181.67599;-0.02919
0.46400;0.00472;183.33698;-0.02862
0.47400;0.00484;184.94494;-0.02869
0.48400;0.00502;186.63604;-0.02875
0.49400;0.00514;187.72967;-0.02884
0.50400;0.00526;188.64328;-0.02912
0.51400;0.00544;189.46659;-0.02917
0.52400;0.00556;190.54719;-0.02903
0.53400;0.00568;191.50686;-0.02921
0.54400;0.00586;192.88545;-0.02912
0.55400;0.00604;194.42614;-0.02875
0.56400;0.00616;195.92538;-0.02844
