Tempo;Corsa;Carico;Deformazione 1
(sec);(mm);(N);(%)
0.00000;0.00000;129.36407;-0.00106
0.00200;0.00000;129.40362;-0.00098
0.00400;0.00000;129.44787;-0.00092
0.01400;0.00000;129.54996;-0.00101
0.02400;0.00000;129.49783;-0.00116
0.03400;0.00000;129.49303;-0.00100
0.04400;0.00000;129.61873;-0.00058
0.05400;0.00012;129.61946;0.00000
0.06400;0.00012;129.49881;0.00001
0.07400;0.00012;129.50102;0.00015
0.08400;0.00018;129.49083;0.00036
0.09400;0.00024;129.51908;0.00053
0.10400;0.00024;129.55740;0.00075
0.11400;0.00024;129.72087;0.00088
0.12400;0.00030;129.85959;0.00065
0.13400;0.00036;129.99590;0.00025
0.14400;0.00036;130.29721;0.00001
0.15400;0.00042;130.31615;-0.00023
0.16400;0.00048;130.33969;-0.00033
0.17400;0.00054;130.58579;-0.00049
0.18400;0.00060;130.92316;-0.00025
0.19400;0.00072;131.34194;0.00052
0.20400;0.00078;131.71750;0.00096
0.21400;0.00084;132.02369;0.00115
0.22400;0.00096;132.26086;0.00068
0.23400;0.00108;132.79708;0.00097
0.24400;0.00120;133.51550;0.00102
0.25400;0.00132;134.62270;0.00143
0.26400;0.00149;135.75613;0.00169
0.27400;0.00167;136.70143;0.00177
0.28400;0.00179;137.82540;0.00168
0.29400;0.00203;139.06866;0.00191
0.30400;0.00221;140.58398;0.00196
0.31400;0.00239;142.08909;0.00216
0.32400;0.00257;143.46949;0.00196
0.33400;0.00275;145.08693;0.00175
0.34400;0.00293;146.84991;0.00223
0.35400;0.00311;148.61551;0.00247
0.36400;0.00329;150.40467;0.00232
0.37400;0.00347;152.05094;0.00160
0.38400;0.00365;153.50356;0.00069
0.39400;0.00383;154.93826;0.00008
0.40400;0.00401;156.36266;0.00007
0.41400;0.00419;157.62321;0.00046
0.42400;0.00436;159.03066;0.00070
0.43400;0.00454;160.26567;0.00054
0.44400;0.00466;161.57069;-0.00035
0.45400;0.00484;162.82153;-0.00037
0.46400;0.00502;164.08635;-0.00017
0.47400;0.00520;165.13113;0.00010
0.48400;0.00532;166.41951;-0.00022
0.49400;0.00550;167.81624;-0.00065
0.50400;0.00562;168.97577;-0.00129
0.51400;0.00580;170.10359;-0.00152
0.52400;0.00592;171.36617;-0.00148
0.53400;0.00610;172.47145;-0.00172
0.54400;0.00622;173.43604;-0.00137
0.55400;0.00634;174.38012;-0.00076
0.56400;0.00646;175.10680;-0.00070
0.57400;0.00658;175.95192;-0.00137
0.58400;0.00670;176.80655;-0.00228
0.59400;0.00682;177.78863;-0.00292
0.60400;0.00694;178.75201;-0.00341
0.61400;0.00706;179.52397;-0.00360
0.62400;0.00717;180.20065;-0.00377
0.63400;0.00729;180.96938;-0.00358
0.64400;0.00735;181.73190;-0.00366
0.65400;0.00747;182.44823;-0.00387
0.66400;0.00759;183.08437;-0.00376
0.67400;0.00771;183.79946;-0.00381
0.68400;0.00783;184.71268;-0.00384
0.69400;0.00795;185.65066;-0.00406
0.70400;0.00807;186.36646;-0.00425
0.71400;0.00819;187.16160;-0.00469
0.72400;0.00831;188.19106;-0.00556
0.73400;0.00843;189.08292;-0.00609
0.74400;0.00855;189.84893;-0.00646
0.75400;0.00867;190.50908;-0.00659
0.76400;0.00879;191.03648;-0.00624
0.77400;0.00891;191.59133;-0.00644
0.78400;0.00903;192.42975;-0.00633
0.79400;0.00915;193.32009;-0.00652
0.80400;0.00927;194.23350;-0.00716
0.81400;0.00945;195.13889;-0.00727
0.82400;0.00957;195.94424;-0.00774
0.83400;0.00969;196.64476;-0.00839
0.84400;0.00987;197.50120;-0.00896
0.85400;0.00998;198.39073;-0.00941
0.86400;0.01016;199.29563;-0.00968
0.87400;0.01028;200.29002;-0.00984
0.88400;0.01040;201.24235;-0.01040
0.89400;0.01052;202.26613;-0.01087
0.90400;0.01070;203.07603;-0.01188
0.91400;0.01082;203.72693;-0.01299
0.92400;0.01094;204.60468;-0.01330
0.93400;0.01112;205.39768;-0.01333
0.94400;0.01124;206.01854;-0.01304
0.95400;0.01136;206.69522;-0.01332
0.96400;0.01148;207.39341;-0.01425
0.97400;0.01160;208.17835;-0.01462
0.98400;0.01172;208.99526;-0.01468
0.99400;0.01184;209.86127;-0.01500
1.00400;0.01196;210.58738;-0.01562
1.01400;0.01208;211.50273;-0.01636
1.02400;0.01220;212.20825;-0.01683
1.03400;0.01238;212.87578;-0.01739
1.04400;0.01250;213.70482;-0.01784
1.05400;0.01262;214.56964;-0.01778
1.06400;0.01274;215.69740;-0.01854
1.07400;0.01285;216.67753;-0.01918
1.08400;0.01297;217.52014;-0.01908
1.09400;0.01315;218.02289;-0.01939
1.10400;0.01327;218.63631;-0.02020
1.11400;0.01339;219.17722;-0.02124
1.12400;0.01351;220.16920;-0.02211
1.13400;0.01363;221.11773;-0.02269
1.14400;0.01375;222.11401;-0.02295
1.15400;0.01387;222.85862;-0.02328
1.16400;0.01393;223.08999;-0.02390
1.17400;0.01405;223.48298;-0.02421
1.18400;0.01417;224.26362;-0.02440
1.19400;0.01429;225.06197;-0.02497
1.20400;0.01441;225.77932;-0.02546
1.21400;0.01453;226.42130;-0.02592
1.22400;0.01465;227.10606;-0.02646
1.23400;0.01477;227.78283;-0.02679
1.24400;0.01489;228.83019;-0.02655
1.25400;0.01501;229.87677;-0.02655
1.26400;0.01513;230.60027;-0.02647
1.27400;0.01525;231.31466;-0.02717
1.28400;0.01537;231.61471;-0.02781
1.29400;0.01549;232.16673;-0.02856
1.30400;0.01561;233.03186;-0.02963
1.31400;0.01572;233.97147;-0.03029
1.32400;0.01584;234.79210;-0.03091
1.33400;0.01596;235.31802;-0.03138
1.34400;0.01608;235.70096;-0.03201
1.35400;0.01620;236.43442;-0.03241
1.36400;0.01632;237.31450;-0.03240
1.37400;0.01644;238.08004;-0.03227
1.38400;0.01650;238.81907;-0.03251
1.39400;0.01662;239.31300;-0.03294
1.40400;0.01674;239.93736;-0.03341
1.41400;0.01686;240.84249;-0.03356
1.42400;0.01698;241.70310;-0.03348
1.43400;0.01710;242.52697;-0.03417
1.44400;0.01716;243.25626;-0.03517
1.45400;0.01728;243.90977;-0.03527
1.46400;0.01740;244.68901;-0.03514
1.47400;0.01752;245.09572;-0.03523
1.48400;0.01764;245.59512;-0.03598
1.49400;0.01770;246.41342;-0.03632
1.50400;0.01782;247.36216;-0.03702
1.51400;0.01794;248.30247;-0.03799
1.52400;0.01806;248.93545;-0.03852
1.53400;0.01812;249.17254;-0.03869
1.54400;0.01824;249.27116;-0.03855
1.55400;0.01836;249.80255;-0.03892
1.56400;0.01847;250.51362;-0.03922
1.57400;0.01859;251.48182;-0.03978
1.58400;0.01871;252.10760;-0.04029
1.59400;0.01883;252.57021;-0.04111
1.60400;0.01889;253.18351;-0.04166
1.61400;0.01901;253.93681;-0.04229
1.62400;0.01913;254.49169;-0.04284
1.63400;0.01925;255.13249;-0.04340
1.64400;0.01937;255.74041;-0.04378
1.65400;0.01949;256.32263;-0.04370
1.66400;0.01961;257.22303;-0.04338
1.67400;0.01979;258.17016;-0.04354
1.68400;0.01991;259.17222;-0.04409
1.69400;0.02009;260.28969;-0.04479
1.70400;0.02021;261.24995;-0.04562
1.71400;0.02033;262.02938;-0.04656
1.72400;0.02051;263.07527;-0.04714
1.73400;0.02063;264.21852;-0.04746
1.74400;0.02081;265.21327;-0.04716
1.75400;0.02093;266.27039;-0.04703
1.76400;0.02105;266.90739;-0.04701
1.77400;0.02123;267.37121;-0.04766
1.78400;0.02134;267.71463;-0.04872
1.79400;0.02146;268.43220;-0.05017
1.80400;0.02158;269.31751;-0.05102
1.81400;0.02170;270.33340;-0.05138
1.82400;0.02182;271.36467;-0.05154
1.83400;0.02194;272.24449;-0.05243
1.84400;0.02212;272.98438;-0.05331
1.85400;0.02224;273.70884;-0.05404
1.86400;0.02236;274.46889;-0.05456
1.87400;0.02248;275.32808;-0.05469
1.88400;0.02260;275.97861;-0.05451
1.89400;0.02272;276.76814;-0.05444
1.90400;0.02284;277.67941;-0.05473
1.91400;0.02296;278.58692;-0.05568
1.92400;0.02308;279.51705;-0.05592
1.93400;0.02326;280.42730;-0.05711
1.94400;0.02338;281.22696;-0.05806
1.95400;0.02350;282.15977;-0.05868
1.96400;0.02362;283.07356;-0.05926
1.97400;0.02374;283.85122;-0.05965
1.98400;0.02386;284.44850;-0.06001
1.99400;0.02398;284.96126;-0.06041
2.00400;0.02410;285.43319;-0.06085
2.01400;0.02421;285.95426;-0.06170
2.02400;0.02433;286.60418;-0.06213
2.03400;0.02445;287.32643;-0.06250
2.04400;0.02457;287.91251;-0.06279
2.05400;0.02469;288.73542;-0.06314
2.06400;0.02481;289.50018;-0.06339
2.07400;0.02493;290.32116;-0.06425
2.08400;0.02505;291.23742;-0.06484
2.09400;0.02517;292.10418;-0.06543
