Tempo;Corsa;Carico;Deformazione 1
(sec);(mm);(N);(%)
0.00000;0.00000;74.18682;-0.04627
0.00200;0.00000;74.21951;-0.04629
0.00400;0.00000;74.28182;-0.04632
0.01400;0.00000;74.73148;-0.04615
0.02400;0.00000;74.87102;-0.04554
0.03400;0.00000;74.53570;-0.04495
0.04400;0.00000;74.40032;-0.04513
0.05400;0.00012;74.25001;-0.04581
0.06400;0.00012;74.03484;-0.04627
0.07400;0.00012;73.94752;-0.04660
0.08400;0.00018;73.74851;-0.04676
0.09400;0.00018;73.88590;-0.04656
0.10400;0.00024;74.15109;-0.04671
0.11400;0.00024;74.36336;-0.04653
0.12400;0.00030;74.47031;-0.04575
0.13400;0.00030;74.64416;-0.04573
0.14400;0.00036;75.06562;-0.04589
0.15400;0.00042;75.35288;-0.04570
0.16400;0.00048;75.55400;-0.04558
0.17400;0.00054;75.63740;-0.04605
0.18400;0.00060;75.89618;-0.04626
0.19400;0.00066;76.12029;-0.04599
0.20400;0.00078;76.41999;-0.04590
0.21400;0.00090;76.79711;-0.04584
0.22400;0.00096;77.45317;-0.04541
0.23400;0.00108;78.35978;-0.04450
0.24400;0.00126;79.18068;-0.04444
0.25400;0.00138;79.83513;-0.04460
0.26400;0.00149;80.71850;-0.04528
0.27400;0.00167;81.73969;-0.04575
0.28400;0.00185;82.89807;-0.04573
0.29400;0.00203;84.14054;-0.04533
0.30400;0.00221;85.50161;-0.04481
0.31400;0.00239;86.77311;-0.04453
0.32400;0.00257;87.92272;-0.04442
0.33400;0.00275;88.78318;-0.04406
0.34400;0.00293;89.95977;-0.04397
0.35400;0.00311;91.33440;-0.04395
0.36400;0.00335;92.82869;-0.04346
0.37400;0.00353;94.45783;-0.04336
0.38400;0.00371;95.75086;-0.04355
0.39400;0.00389;96.89633;-0.04311
0.40400;0.00401;98.05304;-0.04308
0.41400;0.00419;99.28631;-0.04353
0.42400;0.00436;100.53236;-0.04354
0.43400;0.00454;101.69158;-0.04317
0.44400;0.00472;102.77586;-0.04373
0.45400;0.00484;104.13585;-0.04416
0.46400;0.00502;105.49475;-0.04396
0.47400;0.00514;106.77526;-0.04374
0.48400;0.00532;107.95424;-0.04353
0.49400;0.00550;109.06222;-0.04316
0.50400;0.00562;109.96932;-0.04252
0.51400;0.00580;110.97308;-0.04254
0.52400;0.00592;111.93779;-0.04236
0.53400;0.00610;113.13240;-0.04219
0.54400;0.00622;114.47286;-0.04234
0.55400;0.00640;115.59370;-0.04248
0.56400;0.00652;116.21505;-0.04240
0.57400;0.00664;116.62688;-0.04255
0.58400;0.00676;117.06073;-0.04262
0.59400;0.00688;117.64083;-0.04214
0.60400;0.00700;118.54519;-0.04208
0.61400;0.00711;119.55668;-0.04217
0.62400;0.00723;120.44661;-0.04247
0.63400;0.00735;121.33819;-0.04233
0.64400;0.00747;122.27441;-0.04238
0.65400;0.00759;123.35028;-0.04194
0.66400;0.00771;124.17001;-0.04121
0.67400;0.00777;125.08568;-0.04082
0.68400;0.00789;125.87085;-0.04098
0.69400;0.00801;126.50386;-0.04088
0.70400;0.00813;127.23202;-0.04096
0.71400;0.00819;127.79273;-0.04070
0.72400;0.00831;128.32027;-0.04096
0.73400;0.00843;128.93447;-0.04119
0.74400;0.00855;129.70517;-0.04155
0.75400;0.00867;129.96664;-0.04171
0.76400;0.00879;130.39544;-0.04146
0.77400;0.00891;131.14351;-0.04134
0.78400;0.00903;131.87794;-0.04109
0.79400;0.00915;132.69987;-0.04039
0.80400;0.00927;133.71489;-0.04027
0.81400;0.00939;134.45406;-0.04031
0.82400;0.00951;134.85422;-0.04036
0.83400;0.00963;135.49291;-0.04051
